"SubscriptionId","SubscriptionName","ResourceGroupName","VNetName","VNetId","Location","AddressSpace","SubnetCount","WorkloadType","Tags"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","ACUDN-VN-EAU-Migrated","ACUDN-VN-EAU","/subscriptions/987e2911-c87e-414e-9483-9f14e199edef/resourceGroups/ACUDN-VN-EAU-Migrated/providers/Microsoft.Network/virtualNetworks/ACUDN-VN-EAU","australiaeast","172.19.0.0/16","2","Production","No tags"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","DownerTestLabRG291905","DtlDownerTestLab","/subscriptions/987e2911-c87e-414e-9483-9f14e199edef/resourceGroups/DownerTestLabRG291905/providers/Microsoft.Network/virtualNetworks/DtlDownerTestLab","australiaeast","10.0.0.0/20","1","Production","No tags"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","/subscriptions/987e2911-c87e-414e-9483-9f14e199edef/resourceGroups/rg-Network-AustraliaEast/providers/Microsoft.Network/virtualNetworks/VNet-AustraliaEast","australiaeast","172.21.0.0/16","20","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","repair-AUULTDWNWRD006-20240720142444","repair-AUULTDW_VNET","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/repair-AUULTDWNWRD006-20240720142444/providers/Microsoft.Network/virtualNetworks/repair-AUULTDW_VNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","repair-AUULTDWNWRD010-20240720142500","repair-AUULTDW_VNET","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/repair-AUULTDWNWRD010-20240720142500/providers/Microsoft.Network/virtualNetworks/repair-AUULTDW_VNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-AU-Dev-Sciencelogic-AUEast","vNET01-AU-NonProd-AUEast","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-AU-Dev-Sciencelogic-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-NonProd-AUEast","australiaeast","10.0.0.0/16","1","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-AU-NonProd-ASR-Network-AUEast","vNET01-AU-NonProd-Test-AUEast","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-AU-NonProd-ASR-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-NonProd-Test-AUEast","australiaeast","10.150.172.0/24","1","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-AU-NonProd-Network-AUEast","vNET01-AU-NonProd-AUEast","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-AU-NonProd-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-NonProd-AUEast","australiaeast","10.150.144.0/21, 10.156.50.0/24","9","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-DEV-TU-DOWNER-AUSND","dta-tu-vm-vnet","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-DEV-TU-DOWNER-AUSND/providers/Microsoft.Network/virtualNetworks/dta-tu-vm-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-NONPROD-JDEGS-AZE","VNET01-AU-JDEGS-NonProd-AUEast","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-NONPROD-JDEGS-AZE/providers/Microsoft.Network/virtualNetworks/VNET01-AU-JDEGS-NonProd-AUEast","australiaeast","10.150.216.0/25","3","Production","No tags"
"5a75d3bb-4842-4bb4-8cea-b524b09f8614","AU_NONPRD_SUB","RG-Test-SAPBWUpgrade-AZE","vNET01-AU-Test-AUEast","/subscriptions/5a75d3bb-4842-4bb4-8cea-b524b09f8614/resourceGroups/RG-Test-SAPBWUpgrade-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-AU-Test-AUEast","australiaeast","10.150.144.0/21","2","Production","No tags"
"19996f19-25d4-4d2b-8932-1d975c6a2b7d","AU_PRD_SUB","repair-AUAZEDAPWAP018-20240720093128","repair-AUAZEDA_VNET","/subscriptions/19996f19-25d4-4d2b-8932-1d975c6a2b7d/resourceGroups/repair-AUAZEDAPWAP018-20240720093128/providers/Microsoft.Network/virtualNetworks/repair-AUAZEDA_VNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"19996f19-25d4-4d2b-8932-1d975c6a2b7d","AU_PRD_SUB","repair-RHO-LIC01-20240720104532","dmolokovVNET","/subscriptions/19996f19-25d4-4d2b-8932-1d975c6a2b7d/resourceGroups/repair-RHO-LIC01-20240720104532/providers/Microsoft.Network/virtualNetworks/dmolokovVNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"19996f19-25d4-4d2b-8932-1d975c6a2b7d","AU_PRD_SUB","RG-AU-Prod-ASR-Network-AUEast","vNET01-AU-Prod-Test-AUEast","/subscriptions/19996f19-25d4-4d2b-8932-1d975c6a2b7d/resourceGroups/RG-AU-Prod-ASR-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-Prod-Test-AUEast","australiaeast","10.150.36.0/24","1","Production","No tags"
"19996f19-25d4-4d2b-8932-1d975c6a2b7d","AU_PRD_SUB","RG-AU-Prod-Network-AUEast","vNET01-AU-Prod-AUEast","/subscriptions/19996f19-25d4-4d2b-8932-1d975c6a2b7d/resourceGroups/RG-AU-Prod-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-Prod-AUEast","australiaeast","10.150.8.0/21","6","Production","No tags"
"19996f19-25d4-4d2b-8932-1d975c6a2b7d","AU_PRD_SUB","RG-PRD-JDEGS-AZE","VNET01-AU-JDEGS-Prod-AUEast","/subscriptions/19996f19-25d4-4d2b-8932-1d975c6a2b7d/resourceGroups/RG-PRD-JDEGS-AZE/providers/Microsoft.Network/virtualNetworks/VNET01-AU-JDEGS-Prod-AUEast","australiaeast","10.150.51.0/25","3","Production","No tags"
"bf624d28-560c-4932-8410-77233b811e6c","AU_SANDBOX_SUB","RG-AU-SandBox-Network-AUEast","vNET01-AU-SandBox-AUEast","/subscriptions/bf624d28-560c-4932-8410-77233b811e6c/resourceGroups/RG-AU-SandBox-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-AU-SandBox-AUEast","australiaeast","172.97.8.0/21","4","Non-Production","No tags"
"bf624d28-560c-4932-8410-77233b811e6c","AU_SANDBOX_SUB","RG-Sandbox-CommunityPortal-AZE","digitalengineeringnz_vNet1414442","/subscriptions/bf624d28-560c-4932-8410-77233b811e6c/resourceGroups/RG-Sandbox-CommunityPortal-AZE/providers/Microsoft.Network/virtualNetworks/digitalengineeringnz_vNet1414442","australiaeast","10.1.0.0/16","1","Non-Production","No tags"
"bf624d28-560c-4932-8410-77233b811e6c","AU_SANDBOX_SUB","RG-Sandbox-CommunityPortal-AZE","southernprocessing_vNet9160719","/subscriptions/bf624d28-560c-4932-8410-77233b811e6c/resourceGroups/RG-Sandbox-CommunityPortal-AZE/providers/Microsoft.Network/virtualNetworks/southernprocessing_vNet9160719","australiaeast","10.0.0.0/16","1","Non-Production","No tags"
"bf624d28-560c-4932-8410-77233b811e6c","AU_SANDBOX_SUB","RG-Sandbox-POV003CloudLearning-AUEast","RG-Sandbox-POV003CloudLearning-AUEast-vnet","/subscriptions/bf624d28-560c-4932-8410-77233b811e6c/resourceGroups/RG-Sandbox-POV003CloudLearning-AUEast/providers/Microsoft.Network/virtualNetworks/RG-Sandbox-POV003CloudLearning-AUEast-vnet","australiaeast","10.0.0.0/24","1","Non-Production","No tags"
"bf624d28-560c-4932-8410-77233b811e6c","AU_SANDBOX_SUB","RG-Sandbox-ZH_RiskClassification-AZE","RG-Sandbox-ZH_RiskClassification-AZE-vnet","/subscriptions/bf624d28-560c-4932-8410-77233b811e6c/resourceGroups/RG-Sandbox-ZH_RiskClassification-AZE/providers/Microsoft.Network/virtualNetworks/RG-Sandbox-ZH_RiskClassification-AZE-vnet","australiaeast","10.0.0.0/16","1","Non-Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","helios-sftp-2-dev","helios-sftp-2-dev-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/helios-sftp-2-dev/providers/Microsoft.Network/virtualNetworks/helios-sftp-2-dev-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","helios-sftp-2-test","helios-sftp-2-test-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/helios-sftp-2-test/providers/Microsoft.Network/virtualNetworks/helios-sftp-2-test-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","legato-sftp-dev","legato-sftp-dev-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/legato-sftp-dev/providers/Microsoft.Network/virtualNetworks/legato-sftp-dev-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","legato-sftp-test","legato-sftp-test-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/legato-sftp-test/providers/Microsoft.Network/virtualNetworks/legato-sftp-test-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","legato-sftp-uat","legato-sftp-uat-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/legato-sftp-uat/providers/Microsoft.Network/virtualNetworks/legato-sftp-uat-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","MC_RG-DEV-ARCH-EUKubernetes-AUE_DEV-ARCH-EUKubernetes-aks_australiaeast","aks-vnet-12468470","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/MC_RG-DEV-ARCH-EUKubernetes-AUE_DEV-ARCH-EUKubernetes-aks_australiaeast/providers/Microsoft.Network/virtualNetworks/aks-vnet-12468470","australiaeast","10.224.0.0/12","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","operational-hours-dev","vm-operational-hours-dev-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/operational-hours-dev/providers/Microsoft.Network/virtualNetworks/vm-operational-hours-dev-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","operational-hours-test","vm-operational-hours-test-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/operational-hours-test/providers/Microsoft.Network/virtualNetworks/vm-operational-hours-test-vnet","australiaeast","10.0.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","projectharvest2","harvest-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/projectharvest2/providers/Microsoft.Network/virtualNetworks/harvest-vnet","australiaeast","10.6.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","rg-arcgis-dev","arcgisvnetdev","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/rg-arcgis-dev/providers/Microsoft.Network/virtualNetworks/arcgisvnetdev","australiaeast","10.0.0.0/16","3","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","rg-arcgis-test","arcgistestvnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/rg-arcgis-test/providers/Microsoft.Network/virtualNetworks/arcgistestvnet","australiaeast","10.0.0.0/16","2","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-ARCH-PYTHON-IAC-MOVER-TEST","DtlDevTestPOC","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-ARCH-PYTHON-IAC-MOVER-TEST/providers/Microsoft.Network/virtualNetworks/DtlDevTestPOC","australiaeast","10.0.0.0/20","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DBW-DEV-IFUTIL-AZE01","workers-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DBW-DEV-IFUTIL-AZE01/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DBW-TST-IFUTIL-AZE01","workers-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DBW-TST-IFUTIL-AZE01/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DEV-ENUTIL-INSIGHTFACTORY-AZE","vNET01-EU-Dev-AUEast","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DEV-ENUTIL-INSIGHTFACTORY-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-EU-Dev-AUEast","australiaeast","10.156.64.0/23","2","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DEV-ODS-AUEast","RG-DEV-ODS-AUEast-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DEV-ODS-AUEast/providers/Microsoft.Network/virtualNetworks/RG-DEV-ODS-AUEast-vnet","australiaeast","10.0.1.0/24","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DEV-UTIL-ARCH-DEVCENTER","utilarchdevcur001-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DEV-UTIL-ARCH-DEVCENTER/providers/Microsoft.Network/virtualNetworks/utilarchdevcur001-vnet","australiaeast","10.10.0.0/16","1","Production","No tags"
"8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa","AU_TCS_NONPRD_SUB","RG-DEV-UTIL-ARCH-OpenAI","vm-dev-arch-langflow-vnet","/subscriptions/8611c1c3-edb0-44fa-8ea2-d9d0b55caaaa/resourceGroups/RG-DEV-UTIL-ARCH-OpenAI/providers/Microsoft.Network/virtualNetworks/vm-dev-arch-langflow-vnet","australiaeast","10.5.0.0/16","1","Production","No tags"
